Filename;Period;Date;Item;Speech #;Paragraph #;Speaker;Role;Gender;Party;Sentences;Mentioned parties;Interjection Type;Interjecting Party;Interjecting Person;Interjection Content;Specific Class;Sentence Class (Reinig);Interjection Class (Burkhardt);Sentence finished
BT_19_236.xml;19;24.06.2021;Antrag der Abgeordneten Manfred Todtenhausen, Michael Theurer, Grigorios Aggelidis, weiterer Abgeordneter und der Fraktion der FDP: Baustelle Handwerk – Aufbruch für Investitionen, Konjunktur und Beschäftigung in der Zeit nach Corona;32639;8;Claudia Müller;mp;weiblich;GRUENE;Das haben auch die massiven Kritiken an dem Wischiwaschi-CDU-Wahlprogramm gezeigt, das allein durch pure Hoffnung gegenfinanziert ist.;CDU/CSU;Verbal;CDU/CSU;Michael Grosse-Brömer;Klare Tendenz!;Zuruf;Accusation;Evaluativa;True
BT_19_236.xml;19;24.06.2021;Antrag der Abgeordneten Leif-Erik Holm, Steffen Kotré, Tino Chrupalla, weiterer Abgeordneter und der Fraktion der AfD: Stromverbraucher entlasten und Konjunktur unterstützen;32658;10;Andreas G. Lämmel;mp;männlich;CDU/CSU;Aber überbordende Bürokratie, hohe Strompreise, fein ziselierte Gesetze, die Sie ja als Grüne noch feiner stricken wollen, und der Nachholbedarf bei der Infrastruktur sind das, was im Moment die Wirtschaft bei der Entwicklung hemmt.;GRUENE;Verbal;GRUENE;Dieter Janecek;Wer hat denn regiert?;Zuruf;Accusation;Memoranda;True
BT_19_236.xml;19;24.06.2021;Antrag der Abgeordneten Leif-Erik Holm, Steffen Kotré, Tino Chrupalla, weiterer Abgeordneter und der Fraktion der AfD: Stromverbraucher entlasten und Konjunktur unterstützen;32658;20;Andreas G. Lämmel;mp;männlich;CDU/CSU;Sie, die Grünen!;GRUENE;Verbal;GRUENE;Unknown;;Widerspruch;Accusation;;True
BT_19_236.xml;19;24.06.2021;Antrag der Abgeordneten Leif-Erik Holm, Steffen Kotré, Tino Chrupalla, weiterer Abgeordneter und der Fraktion der AfD: Stromverbraucher entlasten und Konjunktur unterstützen;32672;7;Johann Saathoff;mp;männlich;SPD;Dank Ihnen, liebe Kolleginnen und Kollegen der CDU/CSU und der FDP, zahlen wir den Konzernen 2,4 Milliarden Euro.;FDP;Verbal;FDP;Dr. Christoph Hoffmann;Was ist mit dem Kohleausstieg?;Zuruf;Accusation;Memoranda;True
BT_19_236.xml;19;24.06.2021;Beschlussempfehlung und Bericht des Ausschusses für Umwelt, Naturschutz und nukleare Sicherheit zu dem Antrag der Abgeordneten Andreas Bleck, Karsten Hilse, Marc Bernhard, weiterer Abgeordneter und der Fraktion der AfD: Wasserkraftanlagen naturschutzverträglich ausgestalten – Lebensräume für den Lachs erhalten;32689;8;Lukas Köhler;mp;männlich;FDP;Denn Sie müssen mir eine Sache beantworten – bei der SPD habe ich mittlerweile aufgegeben, dass sie diese Antwort liefert –: Was macht Ihr aktueller Verkehrsminister, wenn in einem Jahr die Ziele nicht erreicht werden?;SPD;Verbal;SPD;Klaus Mindrup;Tempolimit!;Zuruf;Rhetorical Question;Memoranda;True
BT_19_236.xml;19;24.06.2021;Beschlussempfehlung und Bericht des Ausschusses für Umwelt, Naturschutz und nukleare Sicherheit zu dem Antrag der Abgeordneten Andreas Bleck, Karsten Hilse, Marc Bernhard, weiterer Abgeordneter und der Fraktion der AfD: Wasserkraftanlagen naturschutzverträglich ausgestalten – Lebensräume für den Lachs erhalten;32694;9;Klaus Mindrup;mp;männlich;SPD;Jetzt gucken wir uns aber an, was passiert, wo die Grünen regieren.;GRUENE;Verbal;GRUENE;Kai Gehring;Sagen Sie mal was zu Herrn Altmaier!;Zuruf;Report;Memoranda;True
BT_19_236.xml;19;24.06.2021;Beschlussempfehlung und Bericht des Ausschusses für Umwelt, Naturschutz und nukleare Sicherheit zu dem Antrag der Abgeordneten Andreas Bleck, Karsten Hilse, Marc Bernhard, weiterer Abgeordneter und der Fraktion der AfD: Wasserkraftanlagen naturschutzverträglich ausgestalten – Lebensräume für den Lachs erhalten;32698;3;Lorenz Gösta Beutin;mp;männlich;DIE LINKE;In dieser Situation kommen dann SPD und Union mit einem ungerechten und unwirksamen CO2-Preis daher und wollen, dass diese Mieter/-innen den CO2-Preis zahlen müssen.;SPD;Verbal;SPD;Klaus Mindrup;Wir wollen das nicht!;Zuruf;Accusation;Memoranda;True
BT_19_236.xml;19;24.06.2021;Beschlussempfehlung und Bericht des Ausschusses für Umwelt, Naturschutz und nukleare Sicherheit zu dem Antrag der Abgeordneten Andreas Bleck, Karsten Hilse, Marc Bernhard, weiterer Abgeordneter und der Fraktion der AfD: Wasserkraftanlagen naturschutzverträglich ausgestalten – Lebensräume für den Lachs erhalten;32698;4;Lorenz Gösta Beutin;mp;männlich;DIE LINKE;Es war die soziale Kälte der Union, die das verhindert hat.;CDU/CSU;Verbal;CDU/CSU;Dr. Anja Weisgerber;;Zuruf;Accusation;;True
BT_19_236.xml;19;24.06.2021;Beschlussempfehlung und Bericht des Ausschusses für Umwelt, Naturschutz und nukleare Sicherheit zu dem Antrag der Abgeordneten Andreas Bleck, Karsten Hilse, Marc Bernhard, weiterer Abgeordneter und der Fraktion der AfD: Wasserkraftanlagen naturschutzverträglich ausgestalten – Lebensräume für den Lachs erhalten;32707;4;Astrid Damerow;mp;weiblich;CDU/CSU;An dieser Stelle, liebe Kolleginnen und Kollegen der SPD, bedanke ich mich ausdrücklich für die hervorragende, zielgerichtete und ausgesprochen kollegiale Zusammenarbeit mit der Kollegin Nina Scheer.;SPD;Nonverbal;SPD;all;;Beifall;Expressive;;True
BT_19_236.xml;19;24.06.2021;Antrag der Abgeordneten Dr. Gottfried Curio, Dr. Bernd Baumann, Peter Boehringer, weiterer Abgeordneter und der Fraktion der AfD: Schutzbedürftigkeit von Asylbewerbern wiederkehrend prüfen;32708;8;Detlef Seif;mp;männlich;CDU/CSU;Der AfD-Antrag macht an dieser Stelle mal wieder mehr als deutlich, dass es Ihnen letztlich egal ist, ob Menschen verfolgt sind oder nicht.;AfD;Verbal;AfD;Unknown;Das ist doch Blödsinn!;Zuruf;Accusation;Evaluativa;True
